title,release_year,genres,budget,revenue,roi,imdb_score
Ferrante Fever,2019,Documentary,150000,14518,-0.9,6.3
Beast,2022,Survival,36000000,59095809,0.64,5.6
Z for Zachariah,2015,Dystopian Sci-Fi,7500000,381839,-0.95,6
Shazam!,2019,Superhero,100000000,367799011,2.68,7
Dangerous,2021,Action,8000000,164231,-0.98,5.2
Sicario,2015,Contemporary Western,30000000,84997446,1.83,7.7
Pitch Perfect 2,2015,Comedy,29000000,287144079,8.9,6.4
Winnie-the-Pooh: Blood and Honey 2,2024,Monster Horror,1000000,7582541,6.58,4.7
Me Before You,2016,Feel-Good Romance,20000000,208445075,9.42,7.4
Doctor Sleep,2019,Dark Fantasy,45000000,72385286,0.61,7.3
The Crime Is Mine,2023,Comedy,13700000,10473857,-0.24,6.5
The Man Who Knew Infinity,2016,Biography,10000000,12252684,0.23,7.2
A Rainy Day in New York,2020,Romantic Comedy,25000000,23805899,-0.05,6.4
Lost in the Stars,2023,Crime,70000000,487637474,5.97,6.5
Traffik,2018,Action,4000000,9515914,1.38,5.9
Embrace of the Serpent,2015,Jungle Adventure,1400000,3217212,1.3,7.8
The Boogeyman,2023,Supernatural Horror,35000000,67307243,0.92,5.9
A Star Is Born,2018,Romantic Epic,36000000,436433122,11.12,7.6
Dreams Rewired,2015,News,700000,15626,-0.98,5.9
My Little Pony: The Movie,2017,Hand-Drawn Animation,6500000,60330833,8.28,6.1
Student of the Year 2,2019,Action,800000000,1635907,-1,2.2
Beau Is Afraid,2023,Dark Comedy,35000000,12337378,-0.65,6.7
Love,2015,Steamy Romance,3000000,861057,-0.71,6.1
C.R.A.Z.Y.,2022,Coming-of-Age,6500000,3710169,-0.43,7.8
The Black Phone,2022,Psychological Horror,18000000,161440742,7.97,6.9
LBJ,2017,Political Drama,26000000,2510151,-0.9,6.5
Whitney Houston: I Wanna Dance with Somebody,2022,Docudrama,45000000,59806881,0.33,6.6
Flow,2025,Animal Adventure,3500000,23478009,5.71,7.9
Spider-Man: No Way Home,2021,Superhero,200000000,1952732181,8.76,8.2
The Arctic Convoy,2023,Action,70000000,3734468,-0.95,6.5
Hijack 1971,2024,Action,13400000,14602614,0.09,6.8
Richard Jewell,2019,Docudrama,45000000,44645542,-0.01,7.5
Father Stu,2022,Biography,4000000,21798260,4.45,6.5
Rams,2015,Drama,1750000,1826583,0.04,7.2
I Belonged to You,2016,Drama,400000000,119107580,-0.7,5.5
Ted 2,2015,High-Concept Comedy,68000000,215863606,2.17,6.3
The Man Who Sold His Skin,2021,Drama,2230000,227290,-0.9,6.9
Here,2024,Coming-of-Age,45000000,15899007,-0.65,6.3
The Royal Hotel,2023,Psychological Thriller,10000000,1366715,-0.86,5.8
The Wedding Ringer,2015,Comedy,23000000,79799880,2.47,6.6
The Bookshop,2018,Period Drama,5400000,12062146,1.23,6.5
Slamma Jamma,2017,Basketball,1000000,1687000,0.69,6
Bleed for This,2016,Boxing,6000000,6698679,0.12,6.8
Trap,2024,Psychological Horror,30000000,83677281,1.79,5.8
Railroad Tigers,2016,Action,50000000,102205175,1.04,5.8
Knock at the Cabin,2023,Psychological Thriller,20000000,54760947,1.74,6.1
100 Acres of Hell,2019,Action,65000,5152,-0.92,3.2
Unbroken: Path to Redemption,2018,Biography,6000000,6216897,0.04,5.8
A Quiet Place: Day One,2024,Alien Invasion,67000000,261907653,2.91,6.3
Logan,2017,Dystopian Sci-Fi,97000000,619180476,5.38,8.1
The Dog Wedding,2016,Comedy,1000000,29495,-0.97,7.6
Mile 22,2018,Spy,50000000,66308758,0.33,6.1
Wild City,2015,Action,5000000,24817852,3.96,5.7
Brighton 4th,2021,Comedy,1200000,25364,-0.98,6.8
From the Land of the Moon,2017,Period Drama,10300000,6547983,-0.36,6.6
Thor: Love and Thunder,2022,Superhero,250000000,760928081,2.04,6.2
Twisters,2024,Disaster,155000000,372262265,1.4,6.5
Parthenope,2024,Coming-of-Age,26300000,11111790,-0.58,6.6
"Cyrano, My Love",2019,Comedy,8500000,5985822,-0.3,7.3
Deadpool,2016,Dark Comedy,58000000,782837347,12.5,8
American Sniper,2015,Docudrama,58800000,547659020,8.31,7.3
The Apprentice,2024,Docudrama,15000000,17289506,0.15,7.1
Moonlight,2016,Coming-of-Age,4000000,65172611,15.29,7.4
Never Heard,2018,Drama,4000000,105271,-0.97,5.6
Érase una vez,2024,Animation,4000000,314,-1,6.2
Decision to Leave,2022,Whodunnit,10000000,22026067,1.2,7.3
Imaginary,2024,Psychological Horror,13000000,43787034,2.37,4.7
Moana,2016,Computer Animation,150000000,643332467,3.29,7.6
Sleepless,2017,Action,30000000,32917353,0.1,5.6
A Ghost Story,2017,Drama,100000,1951683,18.52,6.8
Last Night of Amore,2023,Drama,9500000,4834832,-0.49,7.1
Hotel Mumbai,2019,Action,17300000,21315827,0.23,7.6
Magnus,2016,Sports Documentary,1000000,101739,-0.9,7.1
Death Wish,2018,Action,30000000,49562710,0.65,6.3
Aferim!,2016,Adventure,1250000,350110,-0.72,7.6
Baywatch,2017,Action,69000000,177856751,1.58,5.5
Don't Let Go,2019,Whodunnit,5000000,5288011,0.06,6.4
See How They Run,2022,Bumbling Detective,40000000,21966634,-0.45,6.5
Ryan's World the Movie: Titan Universe Adventure,2024,Anime,10000000,624429,-0.94,1.8
Home Again,2017,Romantic Comedy,12000000,37270721,2.11,5.8
Knights of the Zodiac,2023,Martial Arts,60000000,6986177,-0.88,4.4
Shed of the Dead,2019,Comedy,1000000,38901,-0.96,4.2
Brahms: The Boy II,2020,Drama,10000000,20311536,1.03,4.7
The Second Mother,2015,Comedy,4000000,3003560,-0.25,7.8
National Champions,2021,Drama,8000000,475488,-0.94,5.7
Wolfwalkers,2020,Coming-of-Age,12000000,1310720,-0.89,8
Tangerine,2015,Comedy,100000,840099,7.4,7.1
Miller's Girl,2024,Psychological Thriller,4000000,1714512,-0.57,5.2
Super Troopers 2,2018,Comedy,13500000,31626386,1.34,6
Robin Hood,2018,One-Person Army Action,100000000,86493046,-0.14,5.3
Lost River,2015,Drama,2000000,615500,-0.69,5.7
Io Capitano,2023,Drama,12113000,7636951,-0.37,7.6
Viper Club,2019,Drama,7500000,60607,-0.99,5.6
Daddy's Home 2,2017,Holiday Comedy,69000000,180613824,1.62,6
"Alice, Darling",2023,Psychological Drama,4000000,165264,-0.96,5.6
Forever My Girl,2018,Comedy,3500000,16376066,3.68,6.6
