title,release_year,runtime_minutes,main_genre,maturity_rating,imdb_score,content_format,content_type,imdb_votes
Ferrante Fever,2019,74,Documentary,Not Rated,6.3,MOVIE,Cinema,196
Beast,2022,93,Survival,R,5.6,MOVIE,Cinema,46000
Z for Zachariah,2015,98,Dystopian Sci-Fi,PG-13,6,MOVIE,Cinema,33000
Shazam!,2019,132,Superhero,PG-13,7,MOVIE,Cinema,398000
Dangerous,2021,99,Action,R,5.2,MOVIE,Cinema,11000
Sicario,2015,121,Contemporary Western,R,7.7,MOVIE,Cinema,505000
Pitch Perfect 2,2015,115,Comedy,PG-13,6.4,MOVIE,Cinema,174000
Winnie-the-Pooh: Blood and Honey 2,2024,93,Monster Horror,Not Rated,4.7,MOVIE,Cinema,11000
Me Before You,2016,110,Feel-Good Romance,PG-13,7.4,MOVIE,Cinema,308000
Doctor Sleep,2019,152,Dark Fantasy,R,7.3,MOVIE,Cinema,230000
The Crime Is Mine,2023,102,Comedy,Not Rated,6.5,MOVIE,Cinema,6200
The Man Who Knew Infinity,2016,108,Biography,PG-13,7.2,MOVIE,Cinema,64000
A Rainy Day in New York,2020,92,Romantic Comedy,PG-13,6.4,MOVIE,Cinema,55000
Lost in the Stars,2023,121,Crime,Not Rated,6.5,MOVIE,Cinema,2900
Traffik,2018,96,Action,R,5.9,MOVIE,Cinema,22000
Embrace of the Serpent,2015,125,Jungle Adventure,Not Rated,7.8,MOVIE,Cinema,25000
The Boogeyman,2023,98,Supernatural Horror,PG-13,5.9,MOVIE,Cinema,49000
A Star Is Born,2018,136,Romantic Epic,R,7.6,MOVIE,Cinema,434000
Dreams Rewired,2015,88,News,Not Rated,5.9,MOVIE,Cinema,140
My Little Pony: The Movie,2017,99,Hand-Drawn Animation,PG,6.1,MOVIE,Cinema,8400
Student of the Year 2,2019,146,Action,Not Rated,2.2,MOVIE,Cinema,23000
Beau Is Afraid,2023,179,Dark Comedy,R,6.7,MOVIE,Cinema,71000
Love,2015,135,Steamy Romance,TV-MA,6.1,MOVIE,Cinema,70000
C.R.A.Z.Y.,2022,129,Coming-of-Age,Not Rated,7.8,MOVIE,Cinema,35000
The Black Phone,2022,103,Psychological Horror,R,6.9,MOVIE,Cinema,224000
LBJ,2017,98,Political Drama,R,6.5,MOVIE,Cinema,8000
Whitney Houston: I Wanna Dance with Somebody,2022,144,Docudrama,PG-13,6.6,MOVIE,Cinema,25000
Flow,2025,85,Animal Adventure,PG,7.9,MOVIE,Cinema,63000
Spider-Man: No Way Home,2021,148,Superhero,PG-13,8.2,MOVIE,Cinema,941000
The Arctic Convoy,2023,108,Action,Not Rated,6.5,MOVIE,Cinema,3800
Hijack 1971,2024,100,Action,R,6.8,MOVIE,Cinema,3200
Richard Jewell,2019,131,Docudrama,R,7.5,MOVIE,Cinema,102000
Father Stu,2022,124,Biography,PG-13,6.5,MOVIE,Cinema,34000
Rams,2015,93,Drama,R,7.2,MOVIE,Cinema,15000
I Belonged to You,2016,112,Drama,PG-13,5.5,MOVIE,Cinema,678
Ted 2,2015,115,High-Concept Comedy,R,6.3,MOVIE,Cinema,246000
The Man Who Sold His Skin,2021,104,Drama,Not Rated,6.9,MOVIE,Cinema,7500
Here,2024,104,Coming-of-Age,PG-13,6.3,MOVIE,Cinema,19000
The Royal Hotel,2023,91,Psychological Thriller,R,5.8,MOVIE,Cinema,14000
The Wedding Ringer,2015,101,Comedy,R,6.6,MOVIE,Cinema,82000
The Bookshop,2018,113,Period Drama,PG,6.5,MOVIE,Cinema,18000
Slamma Jamma,2017,104,Basketball,PG,6,MOVIE,Cinema,1900
Bleed for This,2016,117,Boxing,R,6.8,MOVIE,Cinema,32000
Trap,2024,105,Psychological Horror,PG-13,5.8,MOVIE,Cinema,132000
Railroad Tigers,2016,124,Action,TV-PG,5.8,MOVIE,Cinema,5100
Knock at the Cabin,2023,100,Psychological Thriller,R,6.1,MOVIE,Cinema,133000
100 Acres of Hell,2019,85,Action,R,3.2,MOVIE,Cinema,302
Unbroken: Path to Redemption,2018,98,Biography,PG-13,5.8,MOVIE,Cinema,3600
A Quiet Place: Day One,2024,99,Alien Invasion,PG-13,6.3,MOVIE,Cinema,146000
Logan,2017,137,Dystopian Sci-Fi,R,8.1,MOVIE,Cinema,884000
The Dog Wedding,2016,96,Comedy,PG-13,7.6,MOVIE,Cinema,87
Mile 22,2018,94,Spy,R,6.1,MOVIE,Cinema,90000
Wild City,2015,120,Action,Not Rated,5.7,MOVIE,Cinema,913
Brighton 4th,2021,90,Comedy,Not Rated,6.8,MOVIE,Cinema,1100
From the Land of the Moon,2017,120,Period Drama,R,6.6,MOVIE,Cinema,6900
Thor: Love and Thunder,2022,118,Superhero,PG-13,6.2,MOVIE,Cinema,429000
Twisters,2024,122,Disaster,PG-13,6.5,MOVIE,Cinema,162000
Parthenope,2024,137,Coming-of-Age,R,6.6,MOVIE,Cinema,9600
"Cyrano, My Love",2019,110,Comedy,R,7.3,MOVIE,Cinema,3900
Deadpool,2016,108,Dark Comedy,R,8,MOVIE,Cinema,1200000
American Sniper,2015,133,Docudrama,R,7.3,MOVIE,Cinema,548000
The Apprentice,2024,122,Docudrama,R,7.1,MOVIE,Cinema,51000
Moonlight,2016,111,Coming-of-Age,R,7.4,MOVIE,Cinema,341000
Never Heard,2018,89,Drama,TV-14,5.6,MOVIE,Cinema,567
Érase una vez,2024,90,Animation,Not Rated,6.2,MOVIE,Cinema,69
Decision to Leave,2022,139,Whodunnit,Not Rated,7.3,MOVIE,Cinema,61000
Imaginary,2024,104,Psychological Horror,PG-13,4.7,MOVIE,Cinema,17000
Moana,2016,107,Computer Animation,PG,7.6,MOVIE,Cinema,411000
Sleepless,2017,95,Action,R,5.6,MOVIE,Cinema,36000
A Ghost Story,2017,92,Drama,R,6.8,MOVIE,Cinema,84000
Last Night of Amore,2023,124,Drama,Not Rated,7.1,MOVIE,Cinema,5800
Hotel Mumbai,2019,123,Action,R,7.6,MOVIE,Cinema,75000
